date,amount,category,description
15-08-2023,200.50,Income,Freelance work
12-03-2024,78.00,Expenses,Groceries
22-10-2022,15.75,Expenses,Transportation
01-01-2025,1200.00,Income,Bonus
19-07-2023,45.99,Expenses,Entertainment
03-05-2024,98.30,Expenses,Utilities
28-11-2021,20.00,Expenses,Coffee shop
10-09-2024,350.00,Income,Rental income
08-06-2023,75.00,Expenses,Subscriptions
14-02-2022,60.00,Expenses,Dining out
31-07-2024,500.00,Income,Part-time job
05-04-2023,130.25,Expenses,Clothing
18-12-2023,900.00,Income,Project payment
27-11-2024,45.00,Expenses,Charity
11-01-2023,23.80,Expenses,Books
21-08-2024,650.00,Income,Commission
09-07-2024,88.50,Expenses,Car maintenance
02-10-2024,45.75,Expenses,Entertainment
20-04-2023,120.00,Expenses,Medical
06-11-2022,300.00,Income,Dividends
